hatch_section;hold_subbay;deck_subbay;nb_containers_on_deck;nb_containers_on_hold;nb_heavy_containers_on_hold;teus_heavy_containers_on_hold;nb_light_containers_on_hold;teus_light_containers_on_hold;teus_empty_on_hold;total_weight_heavy_on_hold;total_weight_loadable_on_hold;extra_weight_loadable_on_hold;deck_subbay_is_restowable;hold_subbay_is_restowable;subbay_contains_cDG_1_7;subbay_contains_oog_left;subbay_contains_oog_right;ratio_restow_heavy_hold;is_restowable
541;5410;5411;39;59;47;90;12;14;6;807.848;3300.0;2492.152;1;1;0;0;0;2.55;1
542;5420;5421;32;49;47;74;2;2;12;804.8000000000001;2640.0;1835.1999999999998;1;1;0;0;0;2.4285714285714284;1
543;5430;5431;41;72;72;102;0;0;6;1856.2240000000002;3240.0;1383.7759999999998;1;0;0;0;0;6.833333333333333;0
544;5440;5441;45;65;65;100;0;0;8;1613.4799999999998;3240.0;1626.5200000000002;1;0;0;0;0;5.625;0
581;5810;5811;28;30;30;60;0;0;50;572.1129999999999;3300.0;2727.887;1;1;0;0;0;0.56;1
582;5820;5821;22;49;49;82;0;0;6;1227.176;2640.0;1412.824;1;0;0;0;0;3.6666666666666665;0
583;5830;5831;44;57;56;99;1;1;8;1165.78;3240.0;2074.2200000000003;1;0;0;0;0;5.0;0
584;5840;5841;27;50;50;98;0;0;10;875.8599999999999;3240.0;2364.1400000000003;1;1;0;0;0;2.7;1
621;6210;6211;40;74;74;96;0;0;14;1723.35;3300.0;1576.65;0;0;1;0;0;2.857142857142857;0
622;6220;6221;32;65;63;76;2;2;10;1337.37;2640.0;1302.63;0;0;1;0;0;2.8333333333333335;0
623;6230;6231;47;57;50;93;7;7;8;827.522;3240.0;2412.478;0;1;1;0;0;3.6;0
624;6240;6241;46;57;50;93;7;7;8;783.343;3240.0;2456.657;0;1;1;0;0;3.533333333333333;0
661;6610;6611;19;85;73;88;12;12;10;1902.0300000000002;3300.0;1397.9699999999998;1;0;0;0;0;1.4090909090909092;0
662;6620;6621;15;40;40;80;0;0;8;1156.77;2640.0;1483.23;1;1;0;0;0;1.875;1
663;6630;6631;36;55;53;93;2;4;8;939.919;3180.0;2240.081;1;0;0;0;0;3.1666666666666665;0
664;6640;6641;30;51;50;95;1;2;8;890.2689999999999;3180.0;2289.731;1;0;0;0;0;3.1;0
701;7010;7011;40;50;50;100;0;0;10;691.97;3300.0;2608.0299999999997;1;1;0;0;0;4.0;1
702;7020;7021;32;40;39;78;1;2;8;476.38199999999995;2640.0;2163.618;1;1;0;0;0;3.3;1
703;7030;7031;47;43;43;72;0;0;28;1128.1000000000001;3060.0;1931.8999999999999;1;0;0;0;0;1.6785714285714286;0
704;7040;7041;47;42;42;72;0;0;28;1129.6199999999997;3060.0;1930.3800000000003;1;1;0;0;0;1.6785714285714286;1
781;7810;7811;35;15;15;30;0;0;0;336.579;900.0;563.421;1;0;0;0;0;inf;0
782;7820;7821;28;16;16;22;0;0;10;274.90999999999997;960.0;685.09;1;0;0;0;0;2.8;0
783;7830;7831;41;35;27;54;8;8;8;385.931;2100.0;1714.069;1;1;0;0;0;3.0625;1
784;7840;7841;41;41;25;48;16;16;6;356.552;2100.0;1743.4479999999999;1;1;0;0;0;2.590909090909091;1
821;8210;8211;29;53;42;56;11;12;2;1057.0659999999998;2100.0;1042.9340000000002;1;0;0;0;0;2.857142857142857;0
822;8220;8221;28;22;8;16;14;28;12;69.45400000000001;1680.0;1610.546;1;1;0;0;0;1.05;1
823;8230;8231;35;24;24;47;0;0;22;598.06;2100.0;1501.94;1;1;0;0;0;1.5909090909090908;1
824;8240;8241;36;30;30;59;0;0;10;730.656;2100.0;1369.344;1;1;0;0;0;3.6;1
861;8610;8611;35;30;29;58;1;1;10;382.71;2100.0;1717.29;1;1;0;0;0;3.272727272727273;1
862;8620;8621;28;28;22;44;6;11;0;468.859;1680.0;1211.141;1;1;0;0;0;3.090909090909091;1
863;8630;8631;41;43;21;40;22;22;0;237.32999999999998;1980.0;1742.67;1;1;0;0;0;2.8636363636363638;1
864;8640;8641;42;43;28;46;15;16;0;337.34000000000003;1980.0;1642.6599999999999;1;1;0;0;0;3.5625;1
901;9010;9011;30;25;25;50;0;0;10;271.01;1800.0;1528.99;1;1;0;0;0;3.0;1
902;9020;9021;24;20;20;40;0;0;8;256.76300000000003;1440.0;1183.237;1;1;0;0;0;3.0;1
903;9030;9031;34;18;17;33;1;1;22;366.35;1740.0;1373.65;1;1;0;0;0;1.5217391304347827;1
904;9040;9041;32;18;18;34;0;0;22;419.06500000000005;1740.0;1320.935;1;1;0;0;0;1.4545454545454546;1
023;;0231;35;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
024;;0241;32;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
065;;0651;5;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
066;;0661;5;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
740;;7401;40;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
741;;7411;30;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
742;;7421;29;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
743;;7431;28;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
744;;7441;28;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
940;;9401;38;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
941;;9411;32;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
942;;9421;32;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
943;;9431;30;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
944;;9441;28;0;0;0;0;0;0;;;;1;0;0;0;0;inf;0
