Slot;LoadPort;DischPort;ContId;Overstow;OverstowPOD;PotentialRestow;PotentialRestowPOD;PotentialRestowImpact;NonReeferAtReefer
070784;CNYTN;FRLEH;UETU2451411;X;DEHAM;;;;
540176;CNYTN;FRLEH;FSCU8758640;;;;;;X
540572;CNYTN;FRLEH;CSNU6711351;X;PLGDN;;;;X
661182;CNYTN;FRLEH;BMOU5068812;X;NLRTM;;;;
661576;CNYTN;NLRTM;FCIU7193067;;;;;;X
341772;CNYTN;DEHAM;UETU5329881;;;;;;X
700986;CNYTN;FRLEH;BSIU9465979;X;DEHAM;;;;
020774;CNYTN;FRLEH;FFAU3485382;X;SGSIN;;;;
180272;CNYTN;FRLEH;FFAU1346536;;;X;SGSIN;14;X
020872;CNSHA;FRLEH;FCIU7081730;X;SGSIN;;;;
580176;CNSHA;SGSIN;CSLU6167301;;;;;;X
180178;CNYTN;FRLEH;TCKU6711178;X;SGSIN;;;;
101174;CNNGB;SGSIN;TLLU4438840;;;;;;X
020780;CNYTN;FRLEH;TCNU5024079;X;SGSIN;;;;
100280;CNYTN;DEHAM;DFSU7739531;X;SGSIN;;;;
460674;CNYTN;DEHAM;FBIU5348698;;;;;;X
150686;CNYTN;FRLEH;BMOU1133308;X;DEHAM;;;;
541684;CNYTN;FRLEH;OOCU7984829;X;MAPTM;;;;
421476;CNYTN;FRLEH;EGSU9705600;X;SGSIN;;;;X
701686;CNYTN;FRLEH;EGHU9798105;X;DEHAM;;;;
621086;CNYTN;FRLEH;EGHU9796252;X;DEHAM;;;;
620486;CNYTN;FRLEH;EGHU9668415;X;DEHAM;;;;
580582;CNYTN;FRLEH;TLLU4299302;X;SGSIN;;;;
542082;CNYTN;FRLEH;EMCU8450085;X;MAPTM;;;;
542080;CNYTN;FRLEH;EGSU9700090;X;MAPTM;;;;
310386;CNYTN;FRLEH;EITU0264460;X;PLGDN;;;;
661382;CNYTN;FRLEH;CAAU5715583;X;NLRTM;;;;
020974;CNYTN;FRLEH;EGHU9368634;X;SGSIN;;;;
621786;CNYTN;FRLEH;EISU1892133;X;DEHAM;;;;
700486;CNYTN;FRLEH;EGSU9704687;X;DEHAM;;;;
700886;CNYTN;FRLEH;EGSU9480972;X;DEHAM;;;;
191078;CNYTN;FRLEH;EGHU3950340;X;NLRTM;;;;
290378;CNYTN;FRLEH;EGHU3541871;X;PLGDN;;;;
780774;CNYTN;FRLEH;HMCU9226299;;;;;;X
020876;CNYTN;FRLEH;TGBU9957771;X;SGSIN;;;;
661074;CNYTN;FRLEH;FFAU5161680;X;NLRTM;;;;X
020376;CNYTN;FRLEH;EMCU8733681;X;SGSIN;;;;
171082;CNYTN;FRLEH;DRYU2756221;X;DEHAM;;;;
380072;CNYTN;FRLEH;EGHU9638180;;;;;;X
780174;CNYTN;FRLEH;TLLU4845234;;;;;;X
421872;CNYTN;FRLEH;TXGU7407491;X;SGSIN;;;;X
020674;CNYTN;FRLEH;BSIU8406164;X;SGSIN;;;;
191084;CNYTN;FRLEH;TRHU3624925;X;NLRTM;;;;
171284;CNYTN;FRLEH;EGSU3248893;X;NLRTM;;;;
780172;CNYTN;FRLEH;GAOU6268331;;;;;;X
860276;CNYTN;FRLEH;EGSU9342865;;;;;;X
540784;CNYTN;FRLEH;EGSU9705404;X;PLGDN;;;;
380484;CNYTN;FRLEH;EITU1105102;X;MAPTM;;;;
700686;CNYTN;FRLEH;EMCU8594863;X;DEHAM;;;;
020776;CNYTN;FRLEH;EITU1746111;X;SGSIN;;;;
020778;CNYTN;FRLEH;EMCU8506034;X;SGSIN;;;;
290376;CNYTN;FRLEH;TRHU1184046;X;PLGDN;;;;
820782;CNYTN;FRLEH;FBIU7911075;X;SGSIN;;;;
100080;CNYTN;FRLEH;EMCU8050197;X;SGSIN;;;;
661272;CNYTN;FRLEH;EGSU9705791;X;NLRTM;;;;X
701286;CNYTN;FRLEH;TGBU7751380;X;DEHAM;;;;
420976;CNYTN;FRLEH;EGSU9761481;X;SGSIN;;;;X
780372;CNYTN;FRLEH;TRHU5642888;;;;;;X
580584;CNYTN;FRLEH;EGSU9700188;X;SGSIN;;;;
420978;CNYTN;FRLEH;EGSU9698223;X;SGSIN;;;;
171280;CNYTN;FRLEH;EGHU3907235;X;NLRTM;;;;
661072;CNYTN;FRLEH;EGSU9703058;X;NLRTM;;;;X
310184;CNYTN;FRLEH;EGSU3271086;X;PLGDN;;;;
540786;CNYTN;FRLEH;EGSU9697119;X;PLGDN;;;;
380684;CNYTN;FRLEH;EGHU9107899;X;MAPTM;;;;
820380;CNYTN;FRLEH;EMCU8072160;X;SGSIN;;;;
171084;CNYTN;FRLEH;EGSU3489859;X;DEHAM;;;;
380486;CNYTN;FRLEH;EGSU9704882;X;MAPTM;;;;
701886;CNYTN;FRLEH;HMCU1055287;X;DEHAM;;;;
191284;CNYTN;FRLEH;EITU3179568;X;NLRTM;;;;
661274;CNYTN;FRLEH;BSIU8407330;X;NLRTM;;;;X
620386;CNYTN;FRLEH;EGSU9433008;X;DEHAM;;;;
191276;CNYTN;FRLEH;EMCU3934549;X;NLRTM;;;;X
191082;CNYTN;FRLEH;EGSU3248342;X;NLRTM;;;;
860272;CNYTN;FRLEH;EITU9317622;;;;;;X
171276;CNYTN;FRLEH;EMCU6165392;X;NLRTM;;;;
380884;CNYTN;FRLEH;EISU8588061;X;MAPTM;;;;
860476;CNYTN;FRLEH;TLLU4717969;;;;;;X
340784;CNYTN;FRLEH;EMCU8222906;X;MAPTM;;;;
380286;CNYTN;FRLEH;TGBU6962394;X;MAPTM;;;;
290184;CNYTN;FRLEH;DRYU2995289;X;PLGDN;;;;
620686;CNYTN;FRLEH;EGHU9339976;X;DEHAM;;;;
421276;CNYTN;FRLEH;TGBU9969725;X;SGSIN;;;;X
421374;CNYTN;FRLEH;EMCU1759940;X;SGSIN;;;;X
541886;CNYTN;FRLEH;TGBU6145352;X;MAPTM;;;;
380882;CNYTN;FRLEH;DRYU9847642;X;MAPTM;;;;
191278;CNYTN;FRLEH;EITU0561303;X;NLRTM;;;;
070780;CNYTN;FRLEH;TRHU1175208;X;DEHAM;;;;
290380;CNYTN;FRLEH;EGHU3300642;X;PLGDN;;;;
780574;CNYTN;FRLEH;TLLU4156240;;;;;;X
060574;CNYTN;FRLEH;EGSU1006801;X;DEHAM;;;;X
020672;CNYTN;FRLEH;EITU9163492;X;SGSIN;;;;
700586;CNYTN;FRLEH;EGSU1261387;X;DEHAM;;;;
020580;CNYTN;FRLEH;TXGU6075303;X;SGSIN;;;;
621186;CNYTN;FRLEH;EISU8222344;X;DEHAM;;;;
421772;CNYTN;FRLEH;EGSU9397868;X;SGSIN;;;;X
