BAY;ROW;Racking Forces Absolute Max(<150 KN);Racking Pitch Forces Absolute Max(<100 KN);Internal lashing force Absolute Max;Twistlock shear forces Absolute Max(<210 KN);Pressure Absolute Max(<848 KN);Lifting Absolute Max(<250 KN)
5;12;54.37;29.75;165.67;137.05;509.63;70.21
1;12;18.02;9.22;53.17;63.31;122.42;47.18
94;10;70.01;37.81;150.64;159.11;703.79;296.21
90;10;158.7;56.44;434.24;392.51;1133.2;327.51
86;10;75.92;40.12;226.68;197.98;656.88;172.72
82;10;64.75;42.23;220.21;183.33;608.08;92.46
78;10;78.4;44.31;241.9;208.65;684.79;173.06
70;10;55.07;51.93;164.72;143.76;622.84;85.21
66;10;24.41;26.11;79.95;52.08;237.87;100.48
62;10;64.62;66.33;213.13;179.39;760.11;74.45
58;10;72.63;24.19;168.0;163.09;480.6;147.65
54;10;61.15;63.69;213.66;176.19;703.86;95.02
50;10;58.47;53.15;174.9;152.64;617.91;57.19
46;10;55.44;54.31;173.64;148.94;656.84;104.79
42;10;19.77;7.41;0.0;0.0;89.89;42.93
38;10;63.22;57.88;184.77;162.71;699.33;90.9
34;10;51.19;33.01;174.91;145.38;460.24;90.42
30;10;103.41;50.78;293.13;261.25;815.47;280.68
27;10;85.62;18.61;48.41;59.93;213.75;30.8
25;10;32.65;9.94;49.19;46.64;116.73;20.22
22;10;75.85;46.68;243.27;206.84;697.55;182.86
19;10;50.16;31.43;133.83;135.82;597.63;223.11
17;10;59.16;28.28;108.86;135.6;570.01;170.67
14;10;88.06;56.04;288.33;208.67;691.92;146.28
7;10;43.99;26.98;228.47;118.49;461.24;91.65
5;10;59.14;32.91;176.37;156.18;586.26;100.38
94;8;67.97;36.27;141.58;146.09;656.65;264.23
90;8;77.36;35.39;210.16;190.52;608.28;151.07
86;8;96.7;48.41;273.83;244.14;818.31;218.47
82;8;18.73;9.77;56.07;38.88;123.81;24.16
78;8;78.94;38.87;225.93;200.6;631.47;198.79
70;8;55.77;38.4;137.61;129.86;523.86;112.4
62;8;66.93;58.86;202.91;176.19;718.35;81.39
54;8;82.25;52.68;188.27;183.63;747.65;179.52
46;8;79.07;72.34;240.74;208.7;861.86;98.04
42;8;127.87;40.89;315.84;297.93;935.06;370.23
38;8;66.07;58.76;186.14;172.39;683.38;82.07
34;8;73.8;43.92;249.87;208.34;615.24;142.26
30;8;84.23;40.16;236.49;211.56;652.83;229.19
22;8;77.02;42.79;235.51;203.83;656.33;170.8
15;8;65.61;40.6;173.87;176.21;766.38;259.51
13;8;82.99;40.73;162.61;201.2;753.26;151.81
7;8;54.66;31.17;313.09;111.92;457.8;80.18
5;8;73.35;40.51;227.2;188.15;701.93;99.38
2;8;108.22;23.7;250.81;251.21;735.19;373.79
90;6;44.87;25.93;148.96;125.08;396.45;70.47
