Avg Speed STW,Mean Draft (m),Conso ME HSFO,INTRO_MULTIQUADRATIC,INTRP_QUINTIC,INTRP_THIN_PLATE,9454450_PROD_Conso,9454450_PREPROD_Conso,9454448_PROD_Conso,9454436_PROD_Conso,9454436_PREPROD_Conso,9454448_PREPROD_Conso
13,11.2,48.5,52.96,51.54,52.95,51.07,51.07,47.24,46.77,46.77,47.24
13.2,11.79,49,53.65,52.33,53.65,54.1,54.1,50.04,49.55,49.55,50.04
11.7,12.24,49.2,44.38,43.84,44.22,39.36,39.36,36.4,36.04,36.04,36.4
12.2,12.24,49.2,48.48,48.76,48.26,44.13,44.13,40.82,40.41,40.41,40.82
12.6,12.23,49.2,50.36,50.96,50.17,48.18,48.18,44.57,44.13,44.13,44.57
13.6,11.78,49.2,59.69,58.64,59.69,58.69,58.69,54.29,53.75,53.75,54.29
12.5,11.26,49.5,47.87,47.45,47.92,45.95,45.95,42.51,42.08,42.08,42.51
16.1,11.31,49.8,82.85,81.56,82.84,91.93,91.93,85.04,84.19,84.19,85.04
13,12.26,50,53.29,53.34,53.15,52.52,52.52,48.58,48.1,48.1,48.58
12,15.1,50.1,51.98,47.2,50.06,45.01,45.01,41.64,41.22,41.22,41.64
12.4,12.37,50.1,49.61,50.39,49.4,46.29,46.29,42.81,42.39,42.39,42.81
12.8,10.3,50.1,58.51,59.31,58.54,47.7,47.7,44.12,43.68,43.68,44.12
12.8,12.1,50.4,50.74,50.92,50.6,50.14,50.14,46.38,45.92,45.92,46.38
13.3,12.07,50.4,55.69,54.51,55.72,55.63,55.63,51.46,50.95,50.95,51.46
13.5,12.06,50.4,58.13,56.96,58.17,57.94,57.94,53.59,53.06,53.06,53.59
12.8,11.42,50.5,49.47,48.43,49.55,49.25,49.25,45.55,45.1,45.1,45.55
14.2,12.24,50.9,69.18,69.67,69.38,66.83,66.83,61.82,61.2,61.2,61.82
11.6,11.82,51.5,44.72,44.69,44.64,38.03,38.03,35.18,34.83,34.83,35.18
13,12.11,51.5,52.5,52.13,52.43,52.32,52.32,48.4,47.92,47.92,48.4
13.9,11.75,51.5,65.73,65.41,65.92,62.25,62.25,57.58,57,57,57.58
13.2,12.46,52,56.47,56.66,56.52,55.04,55.04,50.91,50.4,50.4,50.91
12.1,14.4,52.4,48.68,45.4,48.24,45.37,45.37,41.97,41.55,41.55,41.97
10.3,12.35,52.5,46.85,45.74,44.91,27.85,27.85,25.76,25.51,25.51,25.76
11.5,11.96,52.5,43.93,43.37,43.85,37.28,37.28,34.48,34.14,34.14,34.48
12.7,11.3,52.5,49.08,48.16,49.14,48.05,48.05,44.44,44,44,44.44
12.8,11.25,52.5,50.3,49.13,50.35,49.02,49.02,45.34,44.89,44.89,45.34
13.1,11.3,52.5,53.68,52.16,53.67,52.3,52.3,48.37,47.89,47.89,48.37
16.1,11.75,52.5,86.01,85.23,85.99,93.03,93.03,86.05,85.19,85.19,86.05
13.8,12.23,52.8,62.49,62.04,62.69,61.79,61.79,57.16,56.59,56.59,57.16
14.1,12.23,52.8,67.32,67.65,67.51,65.54,65.54,60.62,60.02,60.02,60.62
14.1,12.25,52.8,67.28,67.6,67.48,65.57,65.57,60.65,60.05,60.05,60.65
12.5,9.38,53.5,61.43,58.78,61.32,43.43,43.43,40.17,39.77,39.77,40.17
13.2,11.25,53.5,55.47,54.01,55.45,53.32,53.32,49.32,48.83,48.83,49.32
13.2,11.34,53.5,54.92,53.39,54.91,53.46,53.46,49.44,48.95,48.95,49.44
13.5,12.06,53.5,58.13,56.96,58.17,57.94,57.94,53.59,53.06,53.06,53.59
13.6,12.1,53.5,59.54,58.55,59.64,59.18,59.18,54.74,54.19,54.19,54.74
15.7,11.73,53.5,83.69,83.63,83.66,86.8,86.8,80.29,79.49,79.49,80.29
13.2,11.26,53.6,55.41,53.94,55.39,53.34,53.34,49.34,48.84,48.84,49.34
13.7,12.22,53.7,61.12,60.42,61.27,60.56,60.56,56.02,55.46,55.46,56.02
14.2,12.24,53.7,69.18,69.67,69.38,66.83,66.83,61.82,61.2,61.2,61.82
12.8,12.29,53.9,51.7,52.36,51.5,50.38,50.38,46.6,46.14,46.14,46.6
13.4,15.35,54.5,60.16,53.63,57.69,61.18,61.18,56.59,56.02,56.02,56.59
13.6,11.25,54.5,62.27,61.69,62.28,57.86,57.86,53.52,52.98,52.98,53.52
18.6,13.07,54.6,125.49,125.9,125.32,142.68,142.68,131.97,130.66,130.66,131.97
13,9.38,55.5,64.72,64.51,65.46,48.34,48.34,44.72,44.27,44.27,44.72
12.7,11.78,55.6,48.57,48.43,48.51,48.67,48.67,45.02,44.57,44.57,45.02
12.8,12.72,55.6,52.89,55.25,52.88,50.92,50.92,47.1,46.63,46.63,47.1
13.2,12.45,55.8,56.43,56.56,56.47,55.02,55.02,50.9,50.39,50.39,50.9
12.1,12.03,56.5,47.64,47.87,47.45,42.91,42.91,39.69,39.3,39.3,39.69
13.9,12.22,56.6,63.96,63.78,64.18,63.01,63.01,58.28,57.7,57.7,58.28
13.9,11.34,56.6,67.66,68,67.69,61.57,61.57,56.95,56.38,56.38,56.95
13.3,12.46,56.8,57.59,57.52,57.64,56.19,56.19,51.97,51.45,51.45,51.97
11.7,10.58,56.9,51.19,50.58,50.36,37.62,37.62,34.8,34.45,34.45,34.8
15.5,13.91,57,89.02,89.65,89.38,88.35,88.35,81.72,80.91,80.91,81.72
16.4,13.66,57.3,101.38,101.09,101.52,102.52,102.52,94.83,93.88,93.88,94.83
11.8,11.2,57.5,46.89,47.06,46.7,39.19,39.19,36.25,35.89,35.89,36.25
12.2,14.6,57.5,49.97,47.03,49.35,46.6,46.6,43.11,42.68,42.68,43.11
12.7,12.09,57.5,50.12,50.42,49.98,49.06,49.06,45.38,44.93,44.93,45.38
12.8,11.21,57.5,50.55,49.38,50.6,48.97,48.97,45.29,44.84,44.84,45.29
13,13.99,57.5,57.14,62.61,57.33,54.72,54.72,50.61,50.11,50.11,50.61
13.1,9.92,57.5,64.03,65.72,64.41,50.23,50.23,46.46,46,46,46.46
15.4,11.22,58.5,82.34,82.73,82.28,81.21,81.21,75.12,74.37,74.37,75.12
10.1,12.44,58.7,48.89,51.65,46.02,26.46,26.46,24.47,24.23,24.23,24.47
12.2,10.74,58.7,51.04,50.88,50.84,42.38,42.38,39.2,38.81,38.81,39.2
15.7,9.59,58.7,83.73,83.46,84.68,81.55,81.55,75.43,74.68,74.68,75.43
12.8,15.1,58.8,55.14,51.36,53.46,53.7,53.7,49.67,49.18,49.18,49.67
11.6,11.82,58.9,44.72,44.69,44.64,38.03,38.03,35.18,34.83,34.83,35.18
12.3,12.22,59.4,49.09,49.41,48.95,45.1,45.1,41.72,41.3,41.3,41.72
13.2,12.44,59.7,56.38,56.47,56.43,55.01,55.01,50.88,50.38,50.38,50.88
14.4,14.81,59.7,72.46,70.23,71.95,73.66,73.66,68.13,67.46,67.46,68.13
12,11,60.5,48.47,48.42,48.29,40.8,40.8,37.74,37.37,37.37,37.74
14,12.04,60.5,66.15,66.17,66.36,63.96,63.96,59.16,58.57,58.57,59.16
