Avg Speed STW,Mean Draft (m),Conso ME HSFO,INTRO_MULTIQUADRATIC,INTRP_QUINTIC,INTRP_THIN_PLATE,9454450_PROD_Conso,9454450_PREPROD_Conso,9454448_PROD_Conso,9454436_PROD_Conso,9454436_PREPROD_Conso,9454448_PREPROD_Conso
15.6,13.04,88.8,86.48,84.33,86.75,88.14,88.14,81.53,80.71,80.71,81.53
16.6,10.18,88.8,92.85,94.95,93.09,96.75,96.75,89.49,88.6,88.6,89.49
19.3,13.05,88.8,134.54,134.61,134.43,157.77,157.77,145.93,144.48,144.48,145.93
15.5,12.34,89,83.49,83.36,83.74,85.13,85.13,78.75,77.96,77.96,78.75
14,11.3,89.1,69.8,70.62,69.88,62.72,62.72,58.01,57.43,57.43,58.01
15.9,11.67,89.2,83.78,83.3,83.9,89.71,89.71,82.98,82.16,82.16,82.98
17.9,11.99,89.3,111.14,113.59,111.18,125.08,125.08,115.7,114.54,114.54,115.7
15.1,13.26,89.5,83.23,82.72,83.55,81.05,81.05,74.96,74.22,74.22,74.96
15.9,11,89.5,82.45,80.31,82.46,88.08,88.08,81.47,80.66,80.66,81.47
18.3,10.9,89.5,110.62,108.72,110.15,129.01,129.01,119.33,118.14,118.14,119.33
16.1,11.25,89.8,82.76,81.3,82.76,91.78,91.78,84.9,84.05,84.05,84.9
16.2,10.61,89.8,86.59,84.07,86.45,91.67,91.67,84.79,83.95,83.95,84.79
16.3,10.61,89.8,87.53,85.31,87.39,93.23,93.23,86.23,85.37,85.37,86.23
15.6,12.82,90,85.41,83.68,85.6,87.68,87.68,81.1,80.29,80.29,81.1
17.7,10.87,90,106.6,107.01,106.35,117.67,117.67,108.84,107.75,107.75,108.84
13.9,10.21,90.4,71.54,73.87,72.03,59.6,59.6,55.13,54.58,54.58,55.13
13.9,11.77,90.5,65.63,65.29,65.82,62.28,62.28,57.61,57.04,57.04,57.61
14.7,11.55,90.5,82.77,84.01,82.65,72.16,72.16,66.74,66.08,66.08,66.74
16.4,12.27,90.5,95.04,94.87,94.88,99.17,99.17,91.73,90.81,90.81,91.73
20.5,15.02,90.5,168.32,167.17,168.13,194.34,194.34,179.76,177.97,177.97,179.76
19.5,13.16,90.8,139.11,139.01,139.06,162.7,162.7,150.49,148.99,148.99,150.49
20.2,12.9,90.8,150.26,151.14,150.12,178.07,178.07,164.71,163.07,163.07,164.71
20.4,14.36,90.8,165.07,165.41,164.79,189.11,189.11,174.92,173.18,173.18,174.92
15.6,12.34,90.9,84.3,83.89,84.53,86.64,86.64,80.14,79.35,79.35,80.14
17.3,14.48,91.1,113.9,114.4,114.02,120.81,120.81,111.74,110.63,110.63,111.74
16.1,11.97,91.8,87.98,87.26,87.93,93.56,93.56,86.54,85.68,85.68,86.54
16.3,12.1,91.8,92.21,91.59,92.09,97.1,97.1,89.82,88.92,88.92,89.82
16.4,10.61,91.8,88.53,86.71,88.42,94.8,94.8,87.69,86.81,86.81,87.69
16.4,13.22,91.9,98.12,97.45,98.45,101.48,101.48,93.87,92.94,92.94,93.87
21.2,15.23,92.7,181.86,181.56,181.78,213.95,213.95,197.89,195.92,195.92,197.89
15.5,12.33,92.8,83.5,83.39,83.73,85.11,85.11,78.73,77.94,77.94,78.73
16.3,12.11,92.8,92.29,91.67,92.17,97.13,97.13,89.84,88.94,88.94,89.84
15.6,10.7,93.2,82.08,80.01,82.08,82.9,82.9,76.68,75.92,75.92,76.68
15.5,13.13,93.5,85.93,83.95,86.24,86.79,86.79,80.27,79.48,79.48,80.27
16.2,14.28,93.8,103.03,104.76,103.27,100.51,100.51,92.97,92.04,92.04,92.97
13.7,13.75,94.1,67.78,74.26,68.21,62.82,62.82,58.1,57.52,57.52,58.1
16.8,13.57,94.1,107.18,107.48,107.31,109.28,109.28,101.08,100.07,100.07,101.08
16.8,13.24,94.3,104.49,105.63,104.84,108.45,108.45,100.31,99.31,99.31,100.31
18.5,12.01,94.5,115.44,115.67,115.29,136.95,136.95,126.68,125.42,125.42,126.68
16,11.65,94.6,84.22,83.54,84.35,91.22,91.22,84.37,83.53,83.53,84.37
15.6,13.9,94.7,90.06,90.57,90.48,89.9,89.9,83.15,82.33,82.33,83.15
16.4,12.03,94.8,93.4,92.84,93.29,98.56,98.56,91.17,90.26,90.26,91.17
16.5,13.88,94.8,105.62,105.51,105.76,104.75,104.75,96.89,95.93,95.93,96.89
21.5,13.16,94.8,160.28,158.13,159.77,212.49,212.49,196.55,194.59,194.59,196.55
16.2,11.64,95.2,86.13,85.15,86.17,94.34,94.34,87.26,86.39,86.39,87.26
20.7,11.54,95.4,151.44,152.11,151,183.92,183.92,170.12,168.43,168.43,170.12
17.8,12.7,95.8,117.85,120.58,117.83,125.39,125.39,115.99,114.83,114.83,115.99
15.2,12.96,96,82.49,81.38,82.86,81.94,81.94,75.79,75.04,75.04,75.79
18,10.91,96,109.54,108.63,109.25,123.34,123.34,114.09,112.95,112.95,114.09
19.2,14.98,96.4,146.02,146.55,145.77,162.33,162.33,150.15,148.66,148.66,150.15
14.5,10.2,96.7,76.39,77.54,77.05,66.88,66.88,61.86,61.24,61.24,61.86
16.7,12.04,96.7,98.73,99.27,98.47,103.6,103.6,95.82,94.87,94.87,95.82
16,9.38,96.9,87.16,89.43,88.73,85.29,85.29,78.89,78.11,78.11,78.89
16.5,14.28,96.9,108.66,109.98,108.65,105.68,105.68,97.75,96.78,96.78,97.75
16.6,12.26,96.9,98.48,99.18,98.29,102.48,102.48,94.79,93.85,93.85,94.79
16,12.97,97.6,91.27,89.08,91.48,94.3,94.3,87.22,86.36,86.36,87.22
18.4,10.88,97.6,110.96,108.68,110.53,130.87,130.87,121.05,119.85,119.85,121.05
15.1,11.52,97.7,85.18,85.95,84.98,77.59,77.59,71.77,71.05,71.05,71.77
16.4,12.03,97.7,93.4,92.84,93.29,98.56,98.56,91.17,90.26,90.26,91.17
18.3,12.01,97.7,113.73,114.83,113.75,132.94,132.94,122.97,121.74,121.74,122.97
16.7,12.28,97.8,100.29,101.55,100.1,104.23,104.23,96.41,95.45,95.45,96.41
17.5,14.45,97.8,114.32,114.31,114.52,124.58,124.58,115.24,114.09,114.09,115.24
16.1,10.61,97.9,85.72,82.99,85.56,90.13,90.13,83.37,82.54,82.54,83.37
21,12.92,98,156.27,155.38,155.98,198.12,198.12,183.25,181.43,181.43,183.25
16.8,14.88,98.1,115.02,118.21,115.03,112.44,112.44,104.01,102.97,102.97,104.01
20.2,14.49,98.2,160.6,161.43,160.32,184.6,184.6,170.75,169.05,169.05,170.75
19.6,14.43,98.5,150.17,150.43,150.31,169.77,169.77,157.03,155.47,155.47,157.03
16.5,12.05,98.6,95.35,95.1,95.23,100.27,100.27,92.74,91.82,91.82,92.74
18.6,11.85,98.8,115.24,114.13,115.12,138.41,138.41,128.02,126.75,126.75,128.02
16.3,10.72,98.9,86.85,84.38,86.75,93.53,93.53,86.51,85.65,85.65,86.51
15.4,11.77,99.3,84.72,84.95,84.74,82.42,82.42,76.24,75.48,75.48,76.24
19.1,10.3,99.3,119.19,115.87,119.17,142.5,142.5,131.81,130.49,130.49,131.81
17.5,13.57,99.6,115.77,116.32,115.88,122.18,122.18,113.01,111.89,111.89,113.01
16.5,11.65,99.7,90.92,89.87,90.88,99.22,99.22,91.78,90.86,90.86,91.78
16.5,11.66,99.7,91.05,90.01,91,99.25,99.25,91.8,90.89,90.89,91.8
16.8,10.61,99.9,93.44,93.69,93.49,101.26,101.26,93.66,92.73,92.73,93.66
18,14.71,99.9,119.72,119.47,119.74,135.31,135.31,125.15,123.91,123.91,125.15
17,11.69,100.1,100,100.27,99.83,107.78,107.78,99.69,98.7,98.7,99.69
17.4,11.73,100.4,105.12,106.85,105.02,114.97,114.97,106.35,105.29,105.29,106.35
14.9,11.52,100.7,84.66,85.7,84.5,74.81,74.81,69.2,68.51,68.51,69.2
15.9,11.77,100.7,84.43,84.02,84.53,89.95,89.95,83.2,82.37,82.37,83.2
16,13.88,100.9,95.95,96.13,96.45,96.3,96.3,89.08,88.19,88.19,89.08
18.4,10.59,100.9,111.53,110.13,111.27,129.78,129.78,120.04,118.85,118.85,120.04
18.7,11.98,101.1,117.46,116.67,117.26,140.93,140.93,130.36,129.06,129.06,130.36
16.6,12.06,101.5,97.19,97.34,97,101.96,101.96,94.31,93.37,93.37,94.31
18.5,12,101.5,115.34,115.53,115.19,136.92,136.92,126.64,125.38,125.38,126.64
19.3,15.51,101.5,150.84,151.09,150.88,166.44,166.44,153.95,152.42,152.42,153.95
17.8,14.64,101.9,116.8,116.48,116.82,131.04,131.04,121.21,120,120,121.21
15.3,11.77,102.5,85.15,85.41,85.12,80.97,80.97,74.89,74.15,74.15,74.89
16.5,12.02,102.5,95.09,94.77,94.97,100.19,100.19,92.67,91.75,91.75,92.67
19,10.9,102.8,115.94,111.1,115.53,142.95,142.95,132.23,130.91,130.91,132.23
17.8,14.64,102.9,116.8,116.48,116.82,131.04,131.04,121.21,120,120,121.21
18.1,14.87,102.9,123.15,122.33,123.13,137.83,137.83,127.49,126.22,126.22,127.49
20.1,15.11,102.9,164.42,162.93,164.01,184.49,184.49,170.65,168.95,168.95,170.65
15.5,11.77,103.2,84.28,84.47,84.32,83.9,83.9,77.6,76.83,76.83,77.6
17.6,14.94,103.3,119.36,117.7,119.51,127.85,127.85,118.26,117.08,117.08,118.26
19.9,15.28,103.6,162.79,161.61,162.47,180.14,180.14,166.62,164.96,164.96,166.62
14.6,11.56,104,81.26,82.57,81.16,70.84,70.84,65.53,64.87,64.87,65.53
18.7,11.99,104.1,117.55,116.81,117.36,140.97,140.97,130.39,129.09,129.09,130.39
20,13.04,104.3,148.82,148.86,148.7,173.87,173.87,160.82,159.22,159.22,160.82
15.1,12.31,104.4,81.57,82.01,81.81,79.2,79.2,73.26,72.53,72.53,73.26
19.3,14.97,104.5,147.65,148.2,147.54,164.62,164.62,152.27,150.75,150.75,152.27
16.8,13.88,104.9,110.24,109.98,110.33,110.05,110.05,101.79,100.78,100.78,101.79
17.8,14.94,105.1,120.47,118.74,120.61,131.87,131.87,121.97,120.76,120.76,121.97
16.2,14.9,105.3,106.34,110.62,106.5,101.84,101.84,94.2,93.26,93.26,94.2
19,11.99,105.4,121.77,120.28,121.47,147.24,147.24,136.19,134.83,134.83,136.19
19,11.98,105.7,121.68,120.14,121.39,147.2,147.2,136.15,134.8,134.8,136.15
17.5,13.74,105.9,116.01,115.91,116,122.65,122.65,113.45,112.32,112.32,113.45
17.6,13.75,105.9,117.09,116.75,117.02,124.61,124.61,115.26,114.11,114.11,115.26
17.9,14.68,105.9,118.09,117.81,118.08,133.18,133.18,123.18,121.96,121.96,123.18
18.4,13.99,105.9,125.79,125.6,125.69,141.47,141.47,130.86,129.55,129.55,130.86
14.8,11.55,106.3,83.96,85.06,83.83,73.51,73.51,67.99,67.31,67.31,67.99
17.6,14.64,107,115.69,115.22,115.91,127.05,127.05,117.52,116.35,116.35,117.52
17.7,15.85,107,129.64,129.89,129.26,132.25,132.25,122.33,121.11,121.11,122.33
17.7,13.65,107.5,118.14,118.01,118.1,126.27,126.27,116.79,115.63,115.63,116.79
16.7,13.88,108,108.97,108.68,109.15,108.26,108.26,100.14,99.14,99.14,100.14
17,10.18,108,98.51,103.08,98.98,103.26,103.26,95.51,94.56,94.56,95.51
21.6,13.32,108,164.63,162.53,164.27,216.01,216.01,199.8,197.81,197.81,199.8
18.5,12.02,108.1,115.55,115.81,115.4,136.99,136.99,126.71,125.45,125.45,126.71
17,15.45,108.9,120.27,124.62,120.06,117.5,117.5,108.68,107.6,107.6,108.68
17.2,14.77,109,116.03,116.64,116.09,119.64,119.64,110.66,109.56,109.56,110.66
19.2,12.7,109.3,131.46,131.31,131.41,154.24,154.24,142.66,141.24,141.24,142.66
18.3,13.89,109.7,124.22,123.82,124.2,139.07,139.07,128.63,127.35,127.35,128.63
16.1,11.25,110,82.76,81.3,82.76,91.78,91.78,84.9,84.05,84.05,84.9
19.2,12.11,110,126.01,125.13,125.71,151.98,151.98,140.58,139.18,139.18,140.58
17.7,12.73,110.1,116.9,119.83,116.98,123.57,123.57,114.3,113.16,113.16,114.3
22,12.7,110.6,168.41,159.13,167.64,223.8,223.8,207,204.94,204.94,207
17.9,14.82,111,119.59,118.72,119.66,133.57,133.57,123.55,122.32,122.32,123.55
19.2,10.87,111.1,118.96,114.11,118.52,146.98,146.98,135.95,134.6,134.6,135.95
18.7,12.95,111.3,126.66,126.53,126.61,144.37,144.37,133.54,132.21,132.21,133.54
19,13.71,111.7,133.37,133.25,133.36,153.48,153.48,141.96,140.55,140.55,141.96
19.2,13.99,111.7,140,139.75,140.05,158.93,158.93,147,145.54,145.54,147
17.5,11.67,111.9,105.42,107.07,105.4,116.6,116.6,107.85,106.78,106.78,107.85
20.7,12.82,112,153.91,154.76,153.65,190.01,190.01,175.76,174.01,174.01,175.76
21.2,15.22,112.5,181.72,181.42,181.64,213.9,213.9,197.85,195.88,195.88,197.85
18.3,11.66,112.9,111.29,110.58,111.26,131.73,131.73,121.85,120.63,120.63,121.85
17.3,10.83,113,100.24,101.43,100.25,110.41,110.41,102.13,101.11,101.11,102.13
17.3,10.77,113,100.55,101.93,100.58,110.22,110.22,101.95,100.94,100.94,101.95
18.1,13.73,113,122.04,121.51,121.99,134.47,134.47,124.38,123.14,123.14,124.38
18.5,13.88,113,126.62,126.73,126.69,143.23,143.23,132.48,131.17,131.17,132.48
17.1,12.93,113.5,108.03,111.1,108.37,112.99,112.99,104.51,103.47,103.47,104.51
17,12.92,113.8,106.52,109.21,106.9,111.17,111.17,102.83,101.8,101.8,102.83
18.5,13.24,113.9,124.45,125.19,124.53,141.15,141.15,130.56,129.26,129.26,130.56
17.5,15.65,114,125.53,126.24,125.25,127.7,127.7,118.12,116.94,116.94,118.12
18.2,13.85,114,123.13,122.48,123.07,136.88,136.88,126.61,125.35,125.35,126.61
18.3,12.94,114,122.85,123.97,122.83,136.05,136.05,125.84,124.59,124.59,125.84
20,15.84,114,173.63,175.97,173.5,184.67,184.67,170.81,169.11,169.11,170.81
15.8,12.32,114.1,86.28,85.45,86.44,89.67,89.67,82.94,82.12,82.12,82.94
16.5,12.05,114.1,95.35,95.1,95.23,100.27,100.27,92.74,91.82,91.82,92.74
18.8,12.78,114.2,127.49,126.82,127.56,145.89,145.89,134.95,133.6,133.6,134.95
17.4,14.45,114.5,113.98,114.22,114.15,122.65,122.65,113.44,112.32,112.32,113.44
21.6,14.83,114.7,191.7,190.27,191.36,223.32,223.32,206.56,204.51,204.51,206.56
18,10.28,115,110.54,113.26,110.63,121.09,121.09,112,110.89,110.89,112
18.1,10.03,115,111.37,115.36,111.89,122,122,112.85,111.73,111.73,112.85
21.4,15.45,115.2,194.47,193.22,194.51,220.49,220.49,203.94,201.92,201.92,203.94
20.6,15.88,115.4,183.4,188.55,183.93,200.37,200.37,185.34,183.49,183.49,185.34
16.5,13.6,115.5,102.59,102.38,102.79,104.1,104.1,96.28,95.33,95.33,96.28
17.9,10.81,115.5,109.27,108.9,109.16,121.13,121.13,112.04,110.93,110.93,112.04
19.3,12.86,115.5,133.75,133.87,133.67,157.05,157.05,145.27,143.82,143.82,145.27
21.3,14.35,115.8,181.31,181.44,181.02,212.76,212.76,196.79,194.84,194.84,196.79
18.9,11.32,116,115.94,111.53,115.38,142.56,142.56,131.87,130.56,130.56,131.87
18.4,14.95,116.3,130.93,129.67,130.67,144.41,144.41,133.57,132.24,132.24,133.57
19.3,13.56,116.5,137.71,137.11,138.15,159.65,159.65,147.67,146.2,146.2,147.67
18.1,10.25,117,111.04,113.44,111.12,122.83,122.83,113.61,112.48,112.48,113.61
19.3,15.4,117,149.75,150,149.81,166.07,166.07,153.61,152.08,152.08,153.61
19.8,13.98,117,149.52,150.53,149.59,172.84,172.84,159.87,158.28,158.28,159.87
21.1,13.98,117,173.21,173.89,172.76,205.67,205.67,190.24,188.34,188.34,190.24
19.7,13.19,117.3,143.71,143.48,143.81,167.42,167.42,154.86,153.32,153.32,154.86
18.2,9.97,117.4,112.14,115.79,112.76,123.63,123.63,114.35,113.21,113.21,114.35
18.6,14.03,117.9,129.3,129.42,129.27,145.84,145.84,134.9,133.56,133.56,134.9
20.9,14.83,117.9,172.54,172.86,172.45,204.08,204.08,188.77,186.89,186.89,188.77
20.7,13.99,118,168.45,169.02,168.17,195.23,195.23,180.58,178.78,178.78,180.58
18.1,14.64,118.1,121.1,121.01,121.2,137.17,137.17,126.88,125.61,125.61,126.88
18.4,13.87,118.1,125.28,125.19,125.31,141.09,141.09,130.51,129.21,129.21,130.51
20.2,14.39,118.2,160.42,161.28,160.16,184.2,184.2,170.38,168.68,168.68,170.38
24.5,8.69,118.5,182.94,119.76,162.86,267.07,267.07,247.03,244.57,244.57,247.03
17.7,10.76,118.6,107.17,107.85,106.99,117.3,117.3,108.5,107.42,107.42,108.5
17.9,10.78,118.9,109.39,109.12,109.31,121.03,121.03,111.95,110.83,110.83,111.95
18.9,14.93,118.9,141.59,141.17,141.39,155.33,155.33,143.67,142.24,142.24,143.67
14.7,13.77,119,81.38,84.21,81.74,76.2,76.2,70.48,69.78,69.78,70.48
21.9,14.28,119.1,192.26,192.93,191.79,229.2,229.2,212,209.89,209.89,212
18,14.97,119.2,122.97,121.42,122.96,136.04,136.04,125.83,124.58,124.58,125.83
19.1,13.96,119.2,138.01,137.72,138.05,156.57,156.57,144.82,143.38,143.38,144.82
19.8,13.98,119.7,149.52,150.53,149.59,172.84,172.84,159.87,158.28,158.28,159.87
19.3,13.07,120,134.64,134.69,134.54,157.84,157.84,146,144.55,144.55,146
17.6,14.97,120.1,119.77,118.02,119.9,127.93,127.93,118.33,117.16,117.16,118.33
22.1,13.47,120.1,183.34,179.28,182.77,230.76,230.76,213.44,211.32,211.32,213.44
19.3,13.98,120.3,141.27,141.26,141.3,161.17,161.17,149.07,147.59,147.59,149.07
19.9,14.91,120.6,157.57,157.83,157.34,178.77,178.77,165.36,163.71,163.71,165.36
19.2,12.77,120.7,131.81,131.72,131.78,154.5,154.5,142.91,141.49,141.49,142.91
18.4,10.89,120.9,110.94,108.64,110.51,130.91,130.91,121.08,119.88,119.88,121.08
16.3,14.64,121.1,107.21,110.41,107.47,103.01,103.01,95.28,94.33,94.33,95.28
17.4,14.75,121.1,116.29,115.9,116.44,123.43,123.43,114.17,113.03,113.03,114.17
18.2,13.86,121.1,123.14,122.48,123.08,136.91,136.91,126.64,125.38,125.38,126.64
18.5,11.73,121.1,113.47,112.09,113.42,135.96,135.96,125.75,124.5,124.5,125.75
20.7,14.86,121.1,169.39,169.45,169.24,198.91,198.91,183.98,182.15,182.15,183.98
17.8,12.97,121.2,118.17,120.76,118.28,126.21,126.21,116.74,115.58,115.58,116.74
18.6,14.92,121.3,135.71,134.5,135.63,148.65,148.65,137.5,136.13,136.13,137.5
19.5,12.33,121.3,133.58,133.73,133.34,159.45,159.45,147.49,146.02,146.02,147.49
21.2,10.09,121.7,169.21,177.34,172.27,188.33,188.33,174.2,172.46,172.46,174.2
18.7,14.97,121.9,138.23,137.01,138.12,151,151,139.67,138.28,138.28,139.67
18.8,13.63,122.1,129.35,129.54,129.42,148.83,148.83,137.66,136.29,136.29,137.66
19,10.02,122.1,119.62,117.89,119.97,139.27,139.27,128.82,127.54,127.54,128.82
19.7,13.05,122.1,143.13,142.91,143.21,166.87,166.87,154.35,152.81,152.81,154.35
19.8,11.94,122.1,136.37,136.28,135.82,164.6,164.6,152.25,150.73,150.73,152.25
17.9,10.8,122.3,109.31,108.97,109.21,121.1,121.1,112.01,110.89,110.89,112.01
17.4,15.45,122.5,123.12,123.66,122.89,125.22,125.22,115.82,114.67,114.67,115.82
18.7,14.03,122.7,131.23,131.32,131.23,148,148,136.89,135.53,135.53,136.89
19.9,12.7,122.9,144.8,145.25,144.62,170.1,170.1,157.34,155.77,155.77,157.34
17.9,10.01,123,109.99,115.46,110.65,118.28,118.28,109.4,108.32,108.32,109.4
18,10.61,123.1,110.47,110.64,110.28,122.28,122.28,113.11,111.98,111.98,113.11
18,10.81,123.1,109.96,109.23,109.76,122.99,122.99,113.76,112.63,112.63,113.76
18.8,13.63,123.1,129.35,129.54,129.42,148.83,148.83,137.66,136.29,136.29,137.66
21.3,10.61,123.1,170.32,170.36,172.47,193.76,193.76,179.22,177.44,177.44,179.22
22,14.92,123.1,204.05,201.82,204.01,235.25,235.25,217.6,215.43,215.43,217.6
20.7,14.98,123.2,169.48,169.41,169.43,199.41,199.41,184.44,182.61,182.61,184.44
20,13.63,123.4,152.41,152.61,152.34,176.27,176.27,163.04,161.42,161.42,163.04
18.8,14.03,123.6,133.24,133.22,133.31,150.17,150.17,138.9,137.52,137.52,138.9
18.8,14.91,123.9,139.86,139.09,139.78,153.03,153.03,141.55,140.14,140.14,141.55
18.8,14.71,124.1,139.01,138.57,138.89,152.39,152.39,140.96,139.55,139.55,140.96
19,13.82,124.1,134.46,134.38,134.44,153.86,153.86,142.32,140.9,140.9,142.32
18.8,14.96,124.2,140.05,139.18,139.95,153.19,153.19,141.69,140.28,140.28,141.69
20.5,11.55,124.3,147.78,148.81,147.36,179.15,179.15,165.71,164.06,164.06,165.71
18.9,14.91,124.6,141.54,141.15,141.35,155.27,155.27,143.61,142.19,142.19,143.61
19.5,12.86,124.6,137.74,137.81,137.76,161.54,161.54,149.42,147.93,147.93,149.42
19.5,13.09,124.8,138.76,138.75,138.68,162.43,162.43,150.24,148.75,148.75,150.24
18.2,13.63,125.1,122.63,122.61,122.68,136.2,136.2,125.98,124.73,124.73,125.98
19.4,12.69,125.1,134.75,134.84,134.71,158.63,158.63,146.73,145.27,145.27,146.73
18.4,13.94,125.2,125.58,125.42,125.54,141.31,141.31,130.71,129.41,129.41,130.71
18.7,14.46,125.2,134.95,134.89,134.54,149.39,149.39,138.18,136.8,136.8,138.18
19.8,12.72,125.8,143.2,143.39,143.11,167.86,167.86,155.26,153.72,153.72,155.26
19.5,14,125.9,144.2,144.82,144.11,165.85,165.85,153.4,151.88,151.88,153.4
18.8,8.76,126.1,119.95,126.67,121.82,129.78,129.78,120.04,118.85,118.85,120.04
19.7,14.84,126.1,153.53,154.11,153.51,173.65,173.65,160.62,159.02,159.02,160.62
19.5,12.73,126.6,137.04,137.12,137.06,161.03,161.03,148.95,147.47,147.47,148.95
20.6,12.66,126.7,152.9,154.08,152.5,186.79,186.79,172.77,171.05,171.05,172.77
21.2,13.16,126.7,157.56,156.99,157.48,204.48,204.48,189.14,187.26,187.26,189.14
18.8,15.04,126.8,140.38,139.32,140.22,153.44,153.44,141.93,140.52,140.52,141.93
21.5,13.15,127.4,160.18,157.97,159.67,212.44,212.44,196.5,194.54,194.54,196.5
17.6,14.97,127.6,119.77,118.02,119.9,127.93,127.93,118.33,117.16,117.16,118.33
18.3,14.69,127.6,126.03,125.79,126.08,141.5,141.5,130.88,129.58,129.58,130.88
18.9,13.06,127.7,129,128.71,129.11,149.02,149.02,137.84,136.47,136.47,137.84
17.9,11.08,128,107.96,107.47,107.73,122.06,122.06,112.9,111.78,111.78,112.9
18.9,10.46,128.1,115.66,112.04,115.6,139.12,139.12,128.68,127.4,127.4,128.68
19.7,12.88,128.1,142.3,142.17,142.43,166.19,166.19,153.72,152.19,152.19,153.72
20.8,13.15,128.2,155.35,156.56,155.35,194.06,194.06,179.5,177.71,177.71,179.5
20,14.83,128.6,158.71,158.99,158.57,180.94,180.94,167.36,165.7,165.7,167.36
18.9,14.91,128.7,141.54,141.15,141.35,155.27,155.27,143.61,142.19,142.19,143.61
20.8,14.61,128.7,172.09,172.12,172.01,200.49,200.49,185.45,183.6,183.6,185.45
21.1,14.07,128.7,174.62,175.34,174.14,206.08,206.08,190.62,188.72,188.72,190.62
17.9,10.79,128.8,109.35,109.04,109.26,121.06,121.06,111.98,110.86,110.86,111.98
17.5,10.75,129.2,104.08,105.45,103.99,113.68,113.68,105.15,104.1,104.1,105.15
21.2,13.95,129.2,174.33,174.56,174.05,208.21,208.21,192.58,190.67,190.67,192.58
19,14.92,129.3,143.04,143.05,142.75,157.55,157.55,145.73,144.28,144.28,145.73
19,12.91,129.3,129.87,129.49,129.94,150.65,150.65,139.34,137.96,137.96,139.34
19.3,12.85,129.8,133.71,133.83,133.64,157.01,157.01,145.23,143.79,143.79,145.23
18.8,14.29,130.2,136.02,135.86,135.78,151.03,151.03,139.7,138.31,138.31,139.7
21,12.35,130.2,157.81,156.06,156.65,195.37,195.37,180.71,178.91,178.91,180.71
19.9,13.63,130.3,149.89,150.3,149.89,173.87,173.87,160.82,159.22,159.22,160.82
18.1,14.49,130.5,120.86,120.61,121.02,136.73,136.73,126.47,125.21,125.21,126.47
18,13.85,131.2,121.3,120.17,121.25,132.8,132.8,122.84,121.62,121.62,122.84
19.5,13.8,131.3,142.39,142.84,142.56,165.11,165.11,152.72,151.2,151.2,152.72
18.5,14.54,132,130.39,130.29,130.29,145.31,145.31,134.4,133.07,133.07,134.4
18.6,14.41,132.2,132.1,132.12,131.86,147.06,147.06,136.02,134.67,134.67,136.02
19,10.03,132.2,119.55,117.76,119.88,139.32,139.32,128.86,127.58,127.58,128.86
19.8,13.82,132.2,148.41,149.31,148.5,172.23,172.23,159.3,157.72,157.72,159.3
19.2,13.98,132.8,139.86,139.63,139.92,158.9,158.9,146.97,145.51,145.51,146.97
19.2,9.82,133.1,124.26,123.52,124.89,142.43,142.43,131.74,130.43,130.43,131.74
19.2,14.82,133.2,146.01,146.36,145.73,161.79,161.79,149.65,148.16,148.16,149.65
19.3,12.89,133.2,133.87,134,133.79,157.17,157.17,145.37,143.93,143.93,145.37
18.3,14.36,133.3,125.03,124.68,125.17,140.51,140.51,129.97,128.67,128.67,129.97
20.4,12.7,133.5,150.95,152.52,150.72,182.05,182.05,168.39,166.71,166.71,168.39
17.1,14.6,133.7,114.4,115.55,114.5,117.33,117.33,108.52,107.44,107.44,108.52
15.1,11.77,133.9,85.57,85.89,85.5,78.11,78.11,72.25,71.53,71.53,72.25
19.9,13.99,133.9,152.02,152.85,152.13,175.28,175.28,162.13,160.51,160.51,162.13
17.9,10.76,134,109.47,109.26,109.38,120.96,120.96,111.88,110.77,110.77,111.88
18.8,14.49,134.3,137.65,137.45,137.27,151.68,151.68,140.3,138.9,138.9,140.3
20.7,13.31,134.3,156.95,158.22,157.03,192.24,192.24,177.81,176.04,176.04,177.81
19.1,14.29,134.6,142.38,141.72,142.22,157.71,157.71,145.88,144.42,144.42,145.88
20.5,13.02,134.9,153.18,154.55,153.17,185.93,185.93,171.97,170.26,170.26,171.97
18.8,14.49,135,137.65,137.45,137.27,151.68,151.68,140.3,138.9,138.9,140.3
18.9,10.83,135,114.73,110.16,114.43,140.62,140.62,130.07,128.78,128.78,130.07
19.5,13.97,135,143.87,144.51,143.78,165.74,165.74,153.3,151.78,151.78,153.3
18.6,10.01,135.2,114.97,115.28,115.45,131.36,131.36,121.5,120.29,120.29,121.5
18.6,13.88,135.2,128.08,128.32,128.15,145.36,145.36,134.45,133.11,133.11,134.45
19.2,14.36,135.3,144.7,144.06,144.58,160.22,160.22,148.2,146.72,146.72,148.2
22.5,14.91,135.5,216.9,217.06,217.04,250.11,250.11,231.34,229.04,229.04,231.34
18.7,14.49,135.7,135.17,135.08,134.75,149.48,149.48,138.27,136.89,136.89,138.27
19,14.6,135.8,142.62,142.29,142.35,156.5,156.5,144.76,143.32,143.32,144.76
19.8,13.46,136.2,146.88,146.97,146.97,170.83,170.83,158.01,156.44,156.44,158.01
20.2,13.05,136.2,151.44,151.97,151.48,178.71,178.71,165.3,163.65,163.65,165.3
20.6,13.04,136.9,153.74,155.17,153.69,188.51,188.51,174.36,172.63,172.63,174.36
19.2,14.98,137,146.02,146.55,145.77,162.33,162.33,150.15,148.66,148.66,150.15
