NO.5 HOLD;61053.4;75;90
2.200;0.0;153.775;0.000;2.201
2.700;937.4;153.775;0.000;2.450
3.200;1874.9;153.775;0.000;2.700
3.700;2812.3;153.775;0.000;2.950
4.200;3749.8;153.775;0.000;3.200
4.700;4687.2;153.775;0.000;3.450
5.200;5715.9;153.775;-0.000;3.721
5.700;6765.2;153.775;0.000;3.989
6.200;7814.5;153.775;0.000;4.252
6.700;8863.8;153.775;0.000;4.512
7.200;9913.1;153.775;0.000;4.770
7.700;10962.4;153.775;0.000;5.027
8.200;12011.6;153.775;0.000;5.282
8.700;13060.9;153.775;0.000;5.537
9.200;14110.2;153.775;0.000;5.791
9.700;15159.5;153.775;0.000;6.044
10.200;16208.8;153.775;0.000;6.297
10.700;17258.1;153.775;0.000;6.549
11.200;18307.4;153.775;0.000;6.801
11.700;19356.7;153.775;0.000;7.053
12.200;20405.9;153.775;0.000;7.305
12.700;21455.2;153.775;0.000;7.557
13.200;22504.5;153.775;0.000;7.808
13.700;23553.8;153.775;0.000;8.060
14.200;24603.1;153.775;0.000;8.311
14.700;25652.4;153.775;0.000;8.562
15.200;26701.7;153.775;0.000;8.813
15.700;27750.9;153.775;0.000;9.064
16.200;28800.2;153.775;0.000;9.315
16.700;29849.5;153.775;0.000;9.566
17.200;30898.8;153.775;0.000;9.816
17.700;31948.1;153.775;0.000;10.067
18.200;32997.4;153.775;0.000;10.318
18.700;34046.7;153.775;0.000;10.568
19.200;35095.9;153.775;0.000;10.819
19.700;36145.2;153.775;0.000;11.070
20.200;37194.5;153.775;0.000;11.320
20.700;38243.8;153.775;0.000;11.571
21.200;39293.1;153.775;0.000;11.821
21.700;40342.4;153.775;0.000;12.072
22.200;41391.7;153.775;0.000;12.322
22.700;42441.0;153.775;0.000;12.572
23.200;43490.2;153.775;0.000;12.823
23.700;44539.5;153.775;0.000;13.073
24.200;45588.8;153.775;0.000;13.323
24.700;46638.1;153.775;0.000;13.574
25.200;47687.4;153.775;0.000;13.824
25.700;48736.7;153.775;0.000;14.074
26.200;49786.0;153.775;0.000;14.325
26.700;50835.2;153.775;0.000;14.575
27.200;51884.5;153.775;0.000;14.825
27.700;52933.8;153.775;0.000;15.075
28.200;53983.1;153.775;0.000;15.326
28.700;55032.4;153.775;0.000;15.576
29.200;56081.7;153.775;0.000;15.826
29.700;57131.0;153.775;0.000;16.076
30.200;58172.9;153.776;0.000;16.325
30.700;59132.0;153.785;0.000;16.554
31.200;60046.9;153.799;0.000;16.773
31.700;60961.9;153.813;0.000;16.994
31.750;61053.4;153.814;0.000;17.016
