NO.1 G/E L.O.STOR.TK(P);19.6;30;32
22.936;0.0;65.550;10.102;22.937
23.036;0.5;65.550;10.102;22.986
23.136;0.9;65.550;10.102;23.036
23.236;1.4;65.550;10.102;23.086
23.336;1.8;65.550;10.102;23.136
23.436;2.3;65.550;10.102;23.186
23.536;2.7;65.550;10.102;23.236
23.636;3.2;65.550;10.102;23.286
23.736;3.6;65.550;10.102;23.336
23.836;4.1;65.550;10.102;23.386
23.936;4.5;65.550;10.102;23.436
24.036;5.0;65.550;10.102;23.486
24.136;5.5;65.550;10.102;23.536
24.236;5.9;65.550;10.102;23.586
24.336;6.4;65.550;10.102;23.636
24.436;6.8;65.550;10.102;23.686
24.536;7.3;65.550;10.102;23.736
24.636;7.7;65.550;10.102;23.786
24.736;8.2;65.550;10.102;23.836
24.836;8.6;65.550;10.102;23.886
24.936;9.1;65.550;10.102;23.936
25.036;9.6;65.550;10.102;23.986
25.136;10.0;65.550;10.102;24.036
25.236;10.5;65.550;10.102;24.086
25.336;10.9;65.550;10.102;24.136
25.436;11.4;65.550;10.102;24.186
25.536;11.8;65.550;10.102;24.236
25.636;12.3;65.550;10.102;24.286
25.736;12.7;65.550;10.102;24.336
25.836;13.2;65.550;10.102;24.386
25.936;13.6;65.550;10.102;24.436
26.036;14.1;65.550;10.102;24.486
26.136;14.6;65.550;10.102;24.536
26.236;15.0;65.550;10.102;24.586
26.336;15.5;65.550;10.102;24.636
26.436;15.9;65.550;10.102;24.686
26.536;16.4;65.550;10.102;24.736
26.636;16.8;65.550;10.102;24.786
26.736;17.3;65.550;10.102;24.836
26.836;17.7;65.550;10.102;24.886
26.936;18.2;65.550;10.102;24.936
27.036;18.6;65.550;10.102;24.986
27.136;19.1;65.550;10.102;25.036
27.236;19.6;65.550;10.102;25.086
27.256;19.6;65.550;10.102;25.096
