NO.6 HOLD;60019.9;60;75
2.200;0.0;112.115;0.000;2.201
2.700;810.7;112.115;0.000;2.450
3.200;1621.5;112.115;0.000;2.700
3.700;2432.2;112.115;0.000;2.950
4.200;3242.9;112.115;0.000;3.200
4.700;4053.6;112.115;0.000;3.450
5.200;4999.8;111.996;-0.000;3.735
5.700;5976.4;111.894;0.000;4.015
6.200;6953.1;111.820;0.000;4.287
6.700;7929.7;111.765;0.000;4.553
7.200;8906.3;111.721;0.000;4.816
7.700;9928.9;111.622;0.000;5.088
8.200;10978.2;111.508;0.000;5.361
8.700;12027.5;111.413;-0.000;5.631
9.200;13076.8;111.334;0.000;5.897
9.700;14126.1;111.266;0.000;6.161
10.200;15175.3;111.208;0.000;6.423
10.700;16224.6;111.158;0.000;6.684
11.200;17273.9;111.113;0.000;6.943
11.700;18323.2;111.074;0.000;7.201
12.200;19372.5;111.038;0.000;7.458
12.700;20421.8;111.007;0.000;7.715
13.200;21471.1;110.979;0.000;7.970
13.700;22520.3;110.953;0.000;8.226
14.200;23569.6;110.929;0.000;8.481
14.700;24618.9;110.908;0.000;8.735
15.200;25668.2;110.888;0.000;8.989
15.700;26717.5;110.870;0.000;9.243
16.200;27766.8;110.853;-0.000;9.496
16.700;28816.1;110.837;-0.000;9.749
17.200;29865.4;110.823;-0.000;10.002
17.700;30914.6;110.809;-0.000;10.255
18.200;31963.9;110.797;-0.000;10.508
18.700;33013.2;110.785;-0.000;10.760
19.200;34062.5;110.774;-0.000;11.013
19.700;35111.8;110.763;-0.000;11.265
20.200;36161.1;110.754;0.000;11.517
20.700;37210.4;110.744;-0.000;11.769
21.200;38259.7;110.736;0.000;12.020
21.700;39308.9;110.727;0.000;12.272
22.200;40358.2;110.719;0.000;12.524
22.700;41407.5;110.712;0.000;12.775
23.200;42456.8;110.705;0.000;13.027
23.700;43506.1;110.698;0.000;13.278
24.200;44555.4;110.692;0.000;13.529
24.700;45604.7;110.686;0.000;13.781
25.200;46653.9;110.680;0.000;14.032
25.700;47703.2;110.674;0.000;14.283
26.200;48752.5;110.669;0.000;14.534
26.700;49801.8;110.664;0.000;14.785
27.200;50851.1;110.659;0.000;15.036
27.700;51900.4;110.654;0.000;15.287
28.200;52949.7;110.649;0.000;15.538
28.700;53999.0;110.645;0.000;15.789
29.200;55048.2;110.641;0.000;16.040
29.700;56097.5;110.637;0.000;16.291
30.200;57139.5;110.634;0.000;16.540
30.700;58098.6;110.640;0.000;16.769
31.200;59013.5;110.651;0.000;16.989
31.700;59928.4;110.662;0.000;17.210
31.750;60019.9;110.663;0.000;17.232
