NO.1 HOLD;27810.2;151;166
2.200;0.0;325.525;0.000;2.201
2.700;57.6;325.525;0.000;2.450
3.200;115.2;325.525;0.000;2.700
3.700;172.7;325.525;0.000;2.950
4.200;230.3;325.525;0.000;3.200
4.700;287.9;325.525;0.000;3.450
5.200;422.2;327.133;0.000;3.935
5.700;573.8;328.158;0.000;4.336
6.200;725.4;328.755;0.000;4.673
6.700;876.9;329.146;0.000;4.980
7.200;1028.5;329.421;0.000;5.270
7.700;1205.0;329.622;-0.000;5.591
8.200;1395.9;329.768;0.000;5.914
8.700;1586.8;329.879;-0.000;6.219
9.200;1777.8;329.966;0.000;6.513
9.700;1968.7;330.036;0.000;6.797
10.200;2183.5;330.107;-0.000;7.109
10.700;2427.5;330.179;0.000;7.445
11.200;2671.6;330.238;0.000;7.765
11.700;2915.7;330.287;0.000;8.074
12.200;3159.8;330.328;0.000;8.373
12.700;3418.7;330.360;0.000;8.683
13.200;3718.9;330.376;-0.000;9.027
13.700;4019.0;330.390;0.000;9.357
14.200;4319.2;330.402;0.000;9.677
14.700;4619.4;330.413;-0.000;9.987
15.200;4928.7;330.439;0.000;10.299
15.700;5342.5;330.649;-0.000;10.698
16.200;5756.4;330.828;-0.000;11.075
16.700;6170.2;330.984;-0.000;11.436
17.200;6584.1;331.120;-0.000;11.782
17.700;6997.9;331.240;0.000;12.118
18.200;7509.7;331.458;0.000;12.515
18.700;8032.7;331.661;0.000;12.902
19.200;8555.8;331.839;0.000;13.272
19.700;9078.9;331.997;-0.000;13.628
20.200;9602.0;332.137;0.000;13.972
20.700;10214.8;332.318;0.000;14.361
21.200;10863.9;332.499;-0.000;14.755
21.700;11513.0;332.660;-0.000;15.132
22.200;12162.0;332.803;-0.000;15.496
22.700;12811.1;332.932;-0.000;15.848
23.200;13547.9;333.102;0.000;16.235
23.700;14363.2;333.297;0.000;16.645
24.200;15178.5;333.472;0.000;17.037
24.700;15993.7;333.628;0.000;17.415
25.200;16809.0;333.770;0.000;17.781
25.700;17641.5;333.917;0.000;18.143
26.200;18507.0;334.086;0.000;18.508
26.700;19372.5;334.240;0.000;18.863
27.200;20238.0;334.381;0.000;19.209
27.700;21103.5;334.510;0.000;19.547
28.200;21969.0;334.629;0.000;19.878
28.700;22834.4;334.738;0.000;20.203
29.200;23699.9;334.840;0.000;20.522
29.700;24565.4;334.935;0.000;20.837
30.200;25427.7;335.025;0.000;21.146
30.700;26225.4;335.121;0.000;21.428
31.200;26980.0;335.214;0.000;21.695
31.700;27734.7;335.302;0.000;21.960
31.750;27810.2;335.311;0.000;21.987
