NO.8 HOLD;22239.3;11;20
12.568;0.0;29.929;0.000;12.569
13.068;201.1;29.929;0.000;12.818
13.568;402.1;29.929;0.000;13.068
14.068;603.2;29.929;0.000;13.318
14.568;804.2;29.929;0.000;13.568
15.068;1005.3;29.929;0.000;13.818
15.568;1513.4;27.810;-0.000;14.331
16.068;2090.9;26.516;0.000;14.742
16.568;2668.3;25.782;0.000;15.083
17.068;3245.7;25.309;0.000;15.391
17.568;3823.1;24.979;0.000;15.682
18.068;4449.4;24.644;-0.000;15.984
18.568;5104.1;24.346;-0.000;16.283
19.068;5758.9;24.116;-0.000;16.572
19.568;6413.6;23.933;0.000;16.852
20.068;7068.4;23.784;0.000;17.127
20.568;7723.1;23.661;0.000;17.397
21.068;8377.9;23.556;0.000;17.665
21.568;9032.6;23.467;0.000;17.929
22.068;9687.4;23.390;0.000;18.192
22.568;10342.1;23.322;0.000;18.453
23.068;10996.9;23.263;0.000;18.713
23.568;11651.6;23.210;0.000;18.972
24.068;12306.3;23.163;0.000;19.230
24.568;12961.1;23.121;0.000;19.487
25.068;13615.8;23.083;0.000;19.743
25.568;14270.6;23.048;0.000;19.999
26.068;14925.3;23.016;0.000;20.254
26.568;15580.1;22.987;0.000;20.509
27.068;16234.8;22.960;0.000;20.764
27.568;16889.6;22.936;0.000;21.018
28.068;17544.3;22.913;0.000;21.271
28.568;18199.1;22.892;0.000;21.525
29.068;18853.8;22.872;0.000;21.778
29.568;19508.5;22.854;0.000;22.031
30.068;20162.9;22.837;0.000;22.284
30.568;20797.3;22.821;0.000;22.529
31.068;21407.3;22.807;0.000;22.765
31.568;22017.3;22.794;0.000;23.002
31.750;22239.3;22.789;0.000;23.089
