NO.7 HOLD;23518.3;20;30
12.568;0.0;48.740;0.336;12.569
13.068;538.3;48.740;0.336;12.818
13.568;1076.6;48.740;0.336;13.068
14.068;1614.9;48.740;0.336;13.318
14.568;2153.2;48.740;0.336;13.568
15.068;2691.5;48.740;0.336;13.818
15.568;3244.4;48.698;0.334;14.074
16.068;3800.5;48.660;0.333;14.329
16.568;4356.7;48.631;0.332;14.583
17.068;4912.9;48.609;0.331;14.836
17.568;5469.1;48.592;0.330;15.088
18.068;6025.3;48.578;0.330;15.340
18.568;6581.4;48.566;0.329;15.592
19.068;7137.6;48.556;0.329;15.843
19.568;7693.8;48.547;0.329;16.095
20.068;8250.0;48.540;0.328;16.346
20.568;8806.2;48.534;0.328;16.596
21.068;9362.3;48.528;0.328;16.847
21.568;9918.5;48.523;0.328;17.098
22.068;10474.7;48.518;0.328;17.349
22.568;11030.9;48.514;0.327;17.599
23.068;11624.9;48.540;0.322;17.866
23.568;12324.4;48.640;0.304;18.176
24.068;13024.0;48.729;0.288;18.479
24.568;13723.5;48.809;0.273;18.777
25.068;14423.0;48.881;0.260;19.070
25.568;15122.5;48.947;0.248;19.359
26.068;15822.1;49.007;0.237;19.644
26.568;16521.6;49.062;0.227;19.927
27.068;17221.1;49.112;0.217;20.207
27.568;17920.6;49.158;0.209;20.484
28.068;18620.1;49.201;0.201;20.760
28.568;19319.7;49.241;0.194;21.033
29.068;20019.2;49.278;0.187;21.305
29.568;20718.7;49.312;0.181;21.576
30.068;21417.4;49.345;0.175;21.845
30.568;22076.4;49.385;0.170;22.098
31.068;22686.3;49.434;0.165;22.332
31.568;23296.3;49.481;0.161;22.567
31.750;23518.3;49.498;0.159;22.653
