NO.2 DB.W.B.TK(P);1221.1;136;151
0.000;0.0;279.836;4.976;0.001
0.100;5.1;282.886;5.508;0.058
0.200;13.5;284.312;5.731;0.117
0.300;24.5;285.427;5.894;0.177
0.400;37.8;286.333;6.033;0.239
0.500;53.1;287.108;6.155;0.300
0.600;70.2;287.728;6.267;0.361
0.700;88.9;288.235;6.373;0.422
0.800;109.1;288.663;6.475;0.483
0.900;130.7;289.024;6.571;0.544
1.000;153.7;289.335;6.664;0.604
1.100;177.8;289.606;6.754;0.665
1.200;203.1;289.842;6.839;0.725
1.300;229.5;290.053;6.922;0.786
1.400;257.0;290.242;7.003;0.846
1.500;285.4;290.412;7.082;0.906
1.600;314.8;290.566;7.157;0.967
1.700;345.2;290.706;7.231;1.027
1.800;376.5;290.836;7.304;1.087
1.900;408.7;290.954;7.374;1.147
2.000;441.8;291.065;7.443;1.207
2.100;475.7;291.167;7.510;1.267
2.200;510.4;291.261;7.576;1.327
2.300;529.1;291.415;7.670;1.360
2.400;548.6;291.564;7.766;1.395
2.500;568.9;291.707;7.861;1.433
2.600;590.0;291.846;7.957;1.473
2.700;611.7;291.979;8.052;1.515
2.800;634.3;292.107;8.146;1.558
2.900;657.5;292.229;8.240;1.604
3.000;681.4;292.346;8.333;1.651
3.100;706.1;292.459;8.425;1.700
3.200;731.4;292.566;8.516;1.750
3.300;757.4;292.669;8.606;1.802
3.400;784.0;292.767;8.694;1.854
3.500;811.3;292.861;8.782;1.908
3.600;839.3;292.950;8.868;1.963
3.700;868.0;293.036;8.954;2.019
3.800;897.2;293.118;9.038;2.075
3.900;927.2;293.197;9.121;2.132
4.000;957.7;293.272;9.202;2.190
4.100;988.9;293.344;9.283;2.249
4.200;1020.7;293.413;9.362;2.308
4.300;1053.1;293.479;9.440;2.368
4.400;1086.1;293.543;9.516;2.428
4.500;1119.6;293.603;9.592;2.489
4.600;1153.8;293.661;9.667;2.550
4.700;1188.6;293.717;9.740;2.611
4.792;1221.1;293.767;9.807;2.668
