NO.2 HOLD;51171.3;136;151
2.200;0.0;292.923;0.000;2.201
2.700;336.8;292.923;0.000;2.450
3.200;673.7;292.923;0.000;2.700
3.700;1010.5;292.923;0.000;2.950
4.200;1347.3;292.923;0.000;3.200
4.700;1684.1;292.923;0.000;3.450
5.200;2184.3;293.125;-0.000;3.797
5.700;2721.2;293.284;0.000;4.123
6.200;3258.1;293.391;0.000;4.424
6.700;3795.1;293.467;-0.000;4.711
7.200;4332.0;293.524;-0.000;4.988
7.700;4972.4;293.641;-0.000;5.307
8.200;5673.1;293.767;-0.000;5.634
8.700;6373.7;293.865;-0.000;5.943
9.200;7074.4;293.943;-0.000;6.241
9.700;7775.0;294.008;-0.000;6.530
10.200;8524.6;294.076;-0.000;6.832
10.700;9334.4;294.150;-0.000;7.146
11.200;10144.3;294.211;-0.000;7.449
11.700;10954.2;294.264;-0.000;7.745
12.200;11764.0;294.309;-0.000;8.035
12.700;12602.9;294.354;-0.000;8.329
13.200;13522.9;294.405;-0.000;8.643
13.700;14442.8;294.450;0.000;8.949
14.200;15362.7;294.490;-0.000;9.249
14.700;16282.7;294.525;0.000;9.543
15.200;17208.5;294.560;0.000;9.834
15.700;18202.1;294.625;0.000;10.140
16.200;19195.7;294.684;-0.000;10.441
16.700;20189.3;294.736;-0.000;10.737
17.200;21182.9;294.784;-0.000;11.028
17.700;22176.5;294.828;-0.000;11.316
18.200;23203.1;294.890;-0.000;11.609
18.700;24233.6;294.950;-0.000;11.900
19.200;25264.0;295.005;-0.000;12.188
19.700;26294.5;295.056;-0.000;12.472
20.200;27324.9;295.103;-0.000;12.754
20.700;28368.6;295.156;0.000;13.038
21.200;29417.5;295.208;-0.000;13.320
21.700;30466.5;295.257;-0.000;13.600
22.200;31515.5;295.302;-0.000;13.878
22.700;32564.5;295.345;-0.000;14.154
23.200;33613.4;295.385;-0.000;14.428
23.700;34662.4;295.422;-0.000;14.701
24.200;35711.4;295.458;-0.000;14.973
24.700;36760.3;295.491;0.000;15.243
25.200;37809.3;295.523;-0.000;15.513
25.700;38858.3;295.552;0.000;15.781
26.200;39907.3;295.580;-0.000;16.048
26.700;40956.2;295.607;-0.000;16.315
27.200;42005.2;295.633;-0.000;16.580
27.700;43054.2;295.657;-0.000;16.845
28.200;44103.2;295.680;-0.000;17.109
28.700;45152.1;295.702;-0.000;17.373
29.200;46201.1;295.723;-0.000;17.636
29.700;47250.1;295.743;0.000;17.898
30.200;48291.7;295.763;0.000;18.158
30.700;49250.5;295.791;0.000;18.397
31.200;50165.2;295.823;0.000;18.626
31.700;51079.8;295.854;0.000;18.855
31.750;51171.3;295.857;0.000;18.878
