NO.6 W.W.B.TK(P);1717.1;60;75
7.384;0.0;111.585;25.422;7.385
7.884;52.3;111.349;25.438;7.635
8.384;105.9;111.155;25.452;7.888
8.884;160.4;110.999;25.462;8.142
9.384;215.5;110.877;25.471;8.396
9.884;270.9;110.790;25.477;8.649
10.384;326.2;110.729;25.481;8.901
10.884;381.6;110.684;25.484;9.152
11.384;437.1;110.652;25.487;9.404
11.884;492.5;110.626;25.488;9.655
12.384;547.9;110.606;25.490;9.905
12.884;603.3;110.589;25.491;10.156
13.384;658.7;110.575;25.492;10.406
13.884;714.1;110.564;25.493;10.657
14.384;769.5;110.554;25.494;10.907
14.884;824.9;110.545;25.494;11.157
15.384;880.3;110.537;25.495;11.408
15.884;935.7;110.531;25.495;11.658
16.384;991.1;110.525;25.496;11.908
16.884;1046.5;110.520;25.496;12.158
17.384;1101.9;110.515;25.496;12.409
17.884;1157.3;110.511;25.497;12.659
18.384;1212.7;110.507;25.497;12.909
18.884;1268.1;110.503;25.497;13.159
19.384;1323.5;110.500;25.497;13.409
19.884;1378.9;110.497;25.497;13.659
20.384;1434.3;110.494;25.498;13.909
20.884;1489.7;110.491;25.498;14.159
21.384;1545.1;110.489;25.498;14.409
21.884;1600.5;110.487;25.498;14.660
22.384;1655.9;110.485;25.498;14.910
22.884;1711.3;110.483;25.498;15.160
22.936;1717.1;110.483;25.498;15.186
