NO.5 DB.W.B.TK(S);2396.8;75;90
0.000;0.0;154.087;-12.507;0.001
0.100;75.3;154.034;-12.812;0.050
0.200;153.1;154.009;-12.956;0.101
0.300;232.4;153.991;-13.066;0.152
0.400;313.0;153.976;-13.159;0.203
0.500;394.7;153.964;-13.240;0.254
0.600;477.3;153.953;-13.313;0.305
0.700;560.8;153.944;-13.380;0.357
0.800;645.0;153.936;-13.442;0.408
0.900;730.0;153.929;-13.500;0.460
1.000;815.7;153.922;-13.555;0.511
1.100;902.1;153.915;-13.606;0.563
1.200;989.0;153.910;-13.655;0.614
1.300;1076.5;153.905;-13.702;0.666
1.400;1164.6;153.900;-13.747;0.718
1.500;1253.1;153.895;-13.790;0.769
1.600;1342.2;153.891;-13.832;0.821
1.700;1431.7;153.887;-13.872;0.873
1.800;1521.7;153.883;-13.910;0.925
1.900;1612.1;153.879;-13.947;0.977
2.000;1702.9;153.876;-13.983;1.029
2.100;1794.1;153.873;-14.018;1.081
2.200;1885.7;153.870;-14.051;1.133
2.300;1902.4;153.871;-14.135;1.142
2.400;1919.3;153.871;-14.218;1.153
2.500;1936.6;153.872;-14.303;1.165
2.600;1954.2;153.872;-14.387;1.177
2.700;1972.1;153.873;-14.472;1.190
2.800;1990.4;153.873;-14.557;1.205
2.900;2008.9;153.873;-14.642;1.220
3.000;2027.6;153.874;-14.727;1.236
3.100;2046.6;153.874;-14.812;1.253
3.200;2065.9;153.874;-14.896;1.270
3.300;2085.4;153.874;-14.980;1.289
3.400;2105.1;153.874;-15.064;1.308
3.500;2125.0;153.874;-15.148;1.328
3.600;2145.1;153.873;-15.231;1.349
3.700;2165.4;153.873;-15.313;1.371
3.800;2185.9;153.873;-15.394;1.393
3.900;2206.6;153.873;-15.475;1.416
4.000;2227.4;153.873;-15.556;1.440
4.100;2248.4;153.872;-15.635;1.464
4.200;2269.5;153.872;-15.714;1.489
4.300;2290.7;153.872;-15.792;1.515
4.400;2312.1;153.871;-15.869;1.541
4.500;2333.5;153.871;-15.945;1.568
4.600;2355.1;153.870;-16.020;1.595
4.700;2376.8;153.870;-16.094;1.623
4.792;2396.8;153.870;-16.162;1.649
