NO.3 W.W.B.TK(P);2086.9;122;136
4.792;0.0;256.492;22.530;4.793
5.292;61.4;256.585;22.640;5.048
5.792;130.9;256.679;22.744;5.313
6.292;207.5;256.775;22.841;5.583
6.792;290.2;256.872;22.929;5.857
7.292;378.1;256.970;23.010;6.133
7.792;440.7;256.845;23.178;6.331
8.292;500.2;256.743;23.344;6.535
8.792;562.7;256.700;23.486;6.758
9.292;627.5;256.695;23.610;6.994
9.792;694.2;256.716;23.717;7.239
10.292;750.7;256.583;23.823;7.448
10.792;801.6;256.389;23.927;7.645
11.292;853.3;256.231;24.021;7.850
11.792;905.5;256.098;24.105;8.063
12.292;958.1;255.986;24.181;8.282
12.792;1011.0;255.890;24.250;8.505
13.292;1063.9;255.804;24.312;8.731
13.792;1116.9;255.728;24.369;8.959
14.292;1170.0;255.658;24.420;9.189
14.792;1223.0;255.595;24.467;9.421
15.292;1276.1;255.537;24.510;9.655
15.792;1329.1;255.484;24.550;9.890
16.292;1382.1;255.434;24.586;10.126
16.792;1435.2;255.389;24.620;10.363
17.292;1488.2;255.346;24.652;10.601
17.792;1541.2;255.307;24.681;10.840
18.292;1594.3;255.270;24.708;11.080
18.792;1647.3;255.236;24.734;11.320
19.292;1700.4;255.203;24.758;11.561
19.792;1753.4;255.173;24.780;11.802
20.292;1806.4;255.145;24.802;12.044
20.792;1859.5;255.118;24.822;12.287
21.292;1912.5;255.092;24.840;12.529
21.792;1965.6;255.068;24.858;12.773
22.292;2018.6;255.045;24.875;13.016
22.792;2071.6;255.024;24.891;13.260
22.936;2086.9;255.018;24.896;13.330
