NO.2 W.W.B.TK(P);3002.2;136;151
4.792;0.0;295.672;14.488;4.793
5.292;88.5;295.707;14.661;5.049
5.792;191.2;295.735;14.839;5.317
6.292;307.5;295.768;15.016;5.593
6.792;437.1;295.806;15.191;5.875
7.292;579.5;295.850;15.362;6.163
7.792;668.6;295.758;15.662;6.343
8.292;755.0;295.687;15.985;6.538
8.792;852.7;295.662;16.295;6.768
9.292;961.5;295.676;16.588;7.026
9.792;1080.8;295.718;16.863;7.304
10.292;1176.3;295.757;17.110;7.524
10.792;1261.5;295.808;17.352;7.728
11.292;1356.0;295.884;17.595;7.959
11.792;1458.9;295.978;17.834;8.212
12.292;1570.0;296.087;18.067;8.484
12.792;1664.3;296.204;18.266;8.712
13.292;1735.6;296.330;18.437;8.890
13.792;1813.3;296.469;18.613;9.089
14.292;1896.8;296.620;18.790;9.307
14.792;1985.6;296.780;18.967;9.541
15.292;2069.5;296.915;19.133;9.764
15.792;2131.0;296.974;19.273;9.931
16.292;2196.2;297.048;19.416;10.112
16.792;2264.7;297.133;19.558;10.307
17.292;2336.0;297.227;19.699;10.512
17.792;2408.2;297.320;19.837;10.723
18.292;2465.7;297.326;19.958;10.894
18.792;2524.9;297.340;20.078;11.073
19.292;2585.5;297.362;20.196;11.260
19.792;2647.1;297.389;20.311;11.453
20.292;2709.4;297.418;20.422;11.650
20.792;2765.0;297.403;20.523;11.829
21.292;2820.1;297.386;20.621;12.009
21.792;2875.4;297.371;20.714;12.192
22.292;2930.8;297.356;20.805;12.378
22.792;2986.2;297.343;20.892;12.567
22.936;3002.2;297.339;20.917;12.622
