NO.7 H.F.O.TK(S);1335.3;105;122
4.792;0.0;226.129;-21.655;4.793
5.292;36.8;226.125;-21.655;5.042
5.792;73.6;226.125;-21.655;5.292
6.292;110.4;226.125;-21.655;5.542
6.792;147.2;226.125;-21.655;5.792
7.292;184.0;226.125;-21.655;6.042
7.792;220.8;226.125;-21.655;6.292
8.292;257.6;226.125;-21.655;6.542
8.792;294.4;226.125;-21.655;6.792
9.292;331.2;226.125;-21.655;7.042
9.792;368.0;226.125;-21.655;7.292
10.292;404.8;226.125;-21.655;7.542
10.792;441.6;226.125;-21.655;7.792
11.292;478.4;226.125;-21.655;8.042
11.792;515.2;226.125;-21.655;8.292
12.292;552.0;226.125;-21.655;8.542
12.792;588.8;226.125;-21.655;8.792
13.292;625.6;226.125;-21.655;9.042
13.792;662.3;226.125;-21.655;9.292
14.292;699.1;226.125;-21.655;9.542
14.792;735.9;226.125;-21.655;9.792
15.292;772.7;226.125;-21.655;10.042
15.792;809.5;226.125;-21.655;10.292
16.292;846.3;226.125;-21.655;10.542
16.792;883.1;226.125;-21.655;10.792
17.292;919.9;226.125;-21.655;11.042
17.792;956.7;226.125;-21.655;11.292
18.292;993.5;226.125;-21.655;11.542
18.792;1030.3;226.125;-21.655;11.792
19.292;1067.1;226.125;-21.655;12.042
19.792;1103.9;226.125;-21.655;12.292
20.292;1140.7;226.125;-21.655;12.542
20.792;1177.5;226.125;-21.655;12.792
21.292;1214.3;226.125;-21.655;13.042
21.792;1251.1;226.125;-21.655;13.292
22.292;1287.9;226.125;-21.655;13.542
22.792;1324.7;226.125;-21.655;13.792
22.936;1335.3;226.125;-21.655;13.864
